Name,A1,A2,X0,Dx,K,B
上海,0,0,0,0,0,0
内蒙古,0,0,0,0,0,0
北京,55.561863871543785,2403.306278212536,41.867112115519724,7.9934115699021095,1.6856611893201157,90.25834730214065
吉林,0,0,0,0,0,0
四川,1.9734397158623835,17.34180672558423,31.22288886610031,8.001545199962509,1.1392806615606699e-17,2.0
天津,0,0,0,0,0,0
宁夏,0,0,0,0,0,0
安徽,0,0,0,0,0.0,0.0
山东,0,0,0,0,0,0
山西,-11.761840831382472,406.2243728738182,26.605050677421453,7.344792638220318,0.17504456721902123,13.225846824625972
广东,1143.761622152389,1457.936645275518,18.791965902835155,6.569738359960694,0.07783946022902953,53.17153864798749
广西,7.307497538765875,19.102610743083652,32.51113063889468,9.11852467365976,1.5804115790336236e-17,3.000000000000001
新疆,0,0,0,0,0,0
江苏,0,0,0,0,0.0,0.0
江西,0,0,0,0,0.0,0.0
河北,0,0,0,0,0,0
河南,0,0,0,0,0,0
浙江,0,0,0,0,0,0
湖北,0,0,0,0,0,0
湖南,0,0,0,0,7.869971476620993e-19,0.9999999999999994
甘肃,0,0,0,0,0,0
福建,0,0,0,0,0,0
辽宁,0,0,0,0,0,0
重庆,0,0,0,0,0,0
陕西,0,0,0,0,0,0
黑龙江,0,0,0,0,0.0,0.0
