Name,A1,A2,X0,Dx,K,B
辽宁-辽宁,0,0,0,0,0,0
陕西-陕西,0,0,0,0,0,0
湖南-湖南,0,0,0,0,0,0
河北-河北,0,0,0,0,0,0
吉林-吉林,0,0,0,0,0,0
新疆-新疆,0,0,0,0,0,0
四川-四川,0,0,0,0,0,0
上海-上海,0,0,0,0,0,0
广东-广东,0,0,0,0,0,0
黑龙江-黑龙江,0,0,0,0,0.0,0.0
江苏-江苏,0,0,0,0,0,0
山西-山西,0,0,0,0,0,0
甘肃-甘肃,0,0,0,0,0,0
浙江-浙江,0,0,0,0,0,0
湖北-湖北,0,0,0,0,0,0
福建-福建,0,0,0,0,0,0
河南-河南,0,0,0,0,0,0
广西-广西,0,0,0,0,0,0
安徽-安徽,0,0,0,0,0,0
江西-江西,0,0,0,0,0,0
北京-北京,0,0,0,0,0,0
重庆-重庆,0,0,0,0,0,0
山东-山东,0,0,0,0,0,0
宁夏-宁夏,0,0,0,0,0,0
内蒙古-内蒙古,0,0,0,0,0,0
天津-天津,0,0,0,0,0,0
